hebrew,pronunciation,polish,description
הוא,"",on,""
היא,"",ona,""
אתה,ata,ty,""
אני,ani,ja,""
"",toda raba, dziekuje bardzo,""
"",boker tove, dzien dobry,""
"",nifla,piękne,""
"",ma slomha,jak sie masz,""
